[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-52-29] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437272298; nextExpiration=1788437272283; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-53-31] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437273314; nextExpiration=1788437273298; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-54-31] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437274318; nextExpiration=1788437274314; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-55-32] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437275329; nextExpiration=1788437275318; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-56-34] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437276342; nextExpiration=1788437276329; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-57-34] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437277344; nextExpiration=1788437277342; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-58-35] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437278356; nextExpiration=1788437278344; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-07-59-36] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437279368; nextExpiration=1788437279356; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-00-36] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437280369; nextExpiration=1788437280368; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-01-38] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437281384; nextExpiration=1788437281369; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-02-39] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437282396; nextExpiration=1788437282384; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-03-39] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437283398; nextExpiration=1788437283396; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-04-40] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437284409; nextExpiration=1788437284398; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-05-42] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437285421; nextExpiration=1788437285409; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-06-43] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437286432; nextExpiration=1788437286421; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-07-43] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437287434; nextExpiration=1788437287432; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-08-44] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437288442; nextExpiration=1788437288434; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-09-45] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437289452; nextExpiration=1788437289442; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-10-46] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437290466; nextExpiration=1788437290452; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-11-46] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437291466; nextExpiration=1788437291466; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-12-47] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437292476; nextExpiration=1788437292466; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-13-48] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437293488; nextExpiration=1788437293476; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  15-08-14-50] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788437294503; nextExpiration=1788437294488; keyCount=0; hasEvents=false; eval=false
